ean/modelo,cod_interno,producto,marca,precio_online,precio_cuotas,garantia,url,timestamp
A515-54-36VC,364013,"Notebook Acer 15,6"" Intel Core i3 4GB 1TB 515-54-36VC",ACER,$82.999,ND,ND,https://www.fravega.com/p/notebook-acer-15-6-intel-core-i3-4gb-1tb-515-54-36vc-364013/,2022-03-22 20:33:44
ND,50025825,"Cloudbook eNova 14"" Celeron N3350 RAM 4GB SSD 64GB Win 10 Home",ENOVA,$55.659,ND,ND,https://www.fravega.com/p/cloudbook-enova-14-celeron-n3350-ram-4gb-ssd-64gb-win-10-home-50025825/,2022-03-22 20:33:44
ND,50021214,"Notebook eNova 14"" Intel Core i5 1035G1 + RAM 8GB + SSD 480GB + Windows 10 Home",ENOVA,$118.249,ND,ND,https://www.fravega.com/p/notebook-enova-14-intel-core-i5-1035g1-ram-8gb-ssd-480gb-windows-10-home-50021214/,2022-03-22 20:33:44
C141EP-I3ST-W10H,50014718,"Notebook eNova 14"" Intel Core i3-1005G1 8GB RAM 240GB SSD C141EP-I3ST-W10H",ENOVA,$103.531,ND,ND,https://www.fravega.com/p/notebook-enova-14-intel-core-i3-1005g1-8gb-ram-240gb-ssd-c141ep-i3st-w10h-50014718/,2022-03-22 20:33:44
P46,364211,"Notebook Exo 14,1” Celeron 4GB 128GB SSD P46",EXO,$54.999,ND,ND,https://www.fravega.com/p/notebook-exo-14-1-celeron-4gb-128gb-ssd-p46-364211/,2022-03-22 20:33:45
26N58LT,364035,"Notebook HP Probook 14"" 8GB 256GB Core i7 26N58LT",HP,$149.999,ND,ND,https://www.fravega.com/p/notebook-hp-probook-14-8gb-256gb-core-i7-26n58lt-364035/,2022-03-22 20:33:45
P49PLUS,363985,"Notebook Exo 14,1” Celeron 4GB 1TB P49PLUS",EXO,$61.999,ND,ND,https://www.fravega.com/p/notebook-exo-14-1-celeron-4gb-1tb-p49plus-363985/,2022-03-22 20:33:45
82LM00B0AR,363981,"Notebook Lenovo IdeaPad5 14"" Ryzen 3 4GB 256GB 82LM00B0AR",LENOVO,$84.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-ideapad5-14-ryzen-3-4gb-256gb-82lm00b0ar-363981/,2022-03-22 20:33:46
15-3501-P0DTH365,363960,"Notebook Dell 15,6” Intel Core i3 1TB 4GB 15-3501-P0DTH365",DELL,$84.999,ND,ND,https://www.fravega.com/p/notebook-dell-15-6-intel-core-i3-1tb-4gb-15-3501-p0dth365-363960/,2022-03-22 20:33:46
81Y400M0,364109,"Notebook Lenovo Gamer IdeaPad Gaming 15,6"" Core i5 8GB 256GB+1TB 81Y400M0",LENOVO,$179.999,ND,ND,https://www.fravega.com/p/notebook-lenovo-gamer-ideapad-gaming-15-6-core-i5-8gb-256gb-1tb-81y400m0--364109/,2022-03-22 20:33:46
