ean/modelo,cod_interno,marca,producto,precio_online,precio_cuotas,garantia,url,timestamp
7795473006774,166587,DREAN,LAVARROPAS AUTOMATICO DREAN CONCEPT 5.05 V1 5 BLANCO,49999,"18 x $ 2.777,72 Cuotas sin interés",24,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-automatico-drean-concept-5-05-v1-5-blanco/p/00005942,2022-03-26 11:46:26
7795473024174,174027,AURORA,LAVARROPAS AUTOMATICO AURORA 6506 6 BLANCO,68499,"12 x $ 5.708,25 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-automatico-aurora-6506-6-blanco/p/00141000,2022-03-26 11:46:26
8801643262082,136214,SAMSUNG,LAVARROPAS AUTOMATICO SAMSUNG WW65M0NHWU 6.5 BLANCO,80999,"12 x $ 6.749,92 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-automatico-samsung-ww65m0nhwu-6-5-blanco/p/00181136,2022-03-26 11:46:26
7795473033275,177246,DREAN,LAVARROPAS DREAN FAMILY 7 MAX 7 BLANCO,30999,"12 x $ 2.583,25 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-drean-family-7-max-7-blanco/p/00442009,2022-03-26 11:46:27
7790653061581,177403,LG,LAVARROPAS LG WM8516EE6 8.5 SILVER,114999,"12 x $ 9.583,25 Cuotas sin interés",0,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-lg-wm8516ee6-8-5-silver/p/00451016,2022-03-26 11:46:27
7797075018513,144720,CANDY,LAVARROPAS CANDY CS 10652D-12 6.5 BLANCO,69349,"12 x $ 5.779,09 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-candy-cs-10652d-12-6-5-blanco/p/00456016,2022-03-26 11:46:27
7797750979344,177615,WHIRLPOOL,LAVARROPAS AUTOMATICO WHIRLPOOL WLF80AB 8 BLANCO,94999,"12 x $ 7.916,58 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-automatico-whirlpool-wlf80ab-8-blanco/p/00317205,2022-03-26 11:46:27
7795473006279,166173,PATRIOT-DREAN,LAVARROPAS PATRIOT-DREAN 57 RT 5 BLANCO,20499,"12 x $ 1.708,25 Cuotas sin interés",24,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-patriot-drean-57-rt-5-blanco/p/00007572,2022-03-26 11:46:27
7795473006262,166259,PATRIOT-DREAN,LAVARROPAS PATRIOT-DREAN 56 RB 5 BLANCO,19499,"12 x $ 1.624,92 Cuotas sin interés",24,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-patriot-drean-56-rb-5-blanco/p/00007571,2022-03-26 11:46:27
7797750979344,177615,WHIRLPOOL,LAVARROPAS AUTOMATICO WHIRLPOOL WLF80AB 8 BLANCO,94999,"12 x $ 7.916,58 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-automatico-whirlpool-wlf80ab-8-blanco/p/00317205,2022-03-26 11:46:28
7797750979405,176685,WHIRLPOOL,LAVARROPAS AUTOMATICO WHIRLPOOL WNQ07AB 7 BLANCO,73999,"12 x $ 6.166,58 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-automatico-whirlpool-wnq07ab-7-blanco/p/00317204,2022-03-26 11:46:28
7797750979399,176974,WHIRLPOOL,LAVARROPAS AUTOMATICO WHIRLPOOL WNQ06AB 6 BLANCO,69999,"12 x $ 5.833,25 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-automatico-whirlpool-wnq06ab-6-blanco/p/00317203,2022-03-26 11:46:28
7795473033282,177089,DREAN,LAVARROPAS SEMI-AUTOMATICO DREAN FAMILY 6 ECO 6 BLANCO,23999,"12 x $ 1.999,92 Cuotas sin interés",12,https://www.musimundo.com/marcas/drean/lavarropas-semi-automatico-drean-family-6-eco-6-blanco/p/00395012,2022-03-26 11:46:28
7797750979351,176927,WHIRLPOOL,LAVARROPAS WHIRLPOOL WLF91AB 9 BLANCO,95999,"12 x $ 7.999,92 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-whirlpool-wlf91ab-9-blanco/p/00314105,2022-03-26 11:46:28
7791758900133,143937,GAFA,LAVARROPAS GAFA FUZZYFIT PLATA 7 PLATA,70299,"18 x $ 3.905,50 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-gafa-fuzzyfit-plata-7-plata/p/00428004,2022-03-26 11:46:28
7795473022699,143005,CANDY,LAVARROPAS CANDY CVST810T 8 BLANCO,85499,"12 x $ 7.124,92 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-candy-cvst810t-8-blanco/p/00385003,2022-03-26 11:46:28
7797750979337,176925,WHIRLPOOL,LAVARROPAS WHIRLPOOL WLF75AB 7.5 BLANCO,79999,"12 x $ 6.666,58 Cuotas sin interés",12,https://www.musimundo.com/marcas/whirlpool/lavarropas-whirlpool-wlf75ab-7-5-blanco/p/00314104,2022-03-26 11:46:28
7797075017158,143006,CANDY,LAVARROPAS CANDY GVS128T 8 BLANCO,79999,"18 x $ 4.444,39 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-candy-gvs128t-8-blanco/p/00394000,2022-03-26 11:46:28
7791758900126,143936,GAFA,LAVARROPAS GAFA FUZZYFIT BLANCO 7 BLANCO,67899,"18 x $ 3.772,17 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-gafa-fuzzyfit-blanco-7-blanco/p/00428003,2022-03-26 11:46:29
7791758900140,177516,GAFA,LAVARROPAS GAFA DIGIFIT BLANCO 6.5 BLANCO,64399,"18 x $ 3.577,72 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-gafa-digifit-blanco-6-5-blanco/p/00428001,2022-03-26 11:46:29
7891129531604,143280,WHIRLPOOL,LAVARROPAS WHIRLPOOL WWH07AB 7 BLANCO,82999,"6 x $ 13.833,17 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-whirlpool-wwh07ab-7-blanco/p/00399029,2022-03-26 11:46:29
7791758900157,143935,GAFA,LAVARROPAS GAFA DIGIFIT PLATA 6.5 PLATA,66999,"18 x $ 3.722,17 Cuotas sin interés",12,https://www.musimundo.com/electrohogar/lavarropas/lavarropas-gafa-digifit-plata-6-5-plata/p/00428002,2022-03-26 11:46:29
